id,occupation,upi_txns_month,mobile_recharge_freq,night_light,education,is_urban,bill_payment_consistency,ecommerce_freq,skill_level,household_size,market_density,public_transport_access,housing_type,income,loan_amount,income_to_loan_ratio,repayment_capability
32541114,Street Vendor,47,Weekly,57,Primary,1,0,10,Semi-Skilled,1,0.4,1,Pucca,21618,33561,0.64,0.95
90306097,Domestic Worker,10,Weekly,21,Primary,0,1,3,Unskilled,6,0.3,0,Pucca,9722,39545,0.25,0.55
93220615,Auto Rickshaw Driver,8,Irregular,18,Graduate,0,0,2,Unskilled,7,0.4,0,Pucca,16494,55917,0.29,0.66
98590483,Domestic Worker,23,Weekly,26,Illiterate,0,1,7,Unskilled,4,0.1,0,Semi-Pucca,10850,87031,0.12,0.74
94979924,Street Vendor,22,Irregular,19,Primary,0,0,7,Skilled,3,0.3,1,Kutcha,14992,80917,0.19,0.76
31166891,Auto Rickshaw Driver,24,Monthly,20,Primary,0,1,8,Semi-Skilled,7,0.3,1,Semi-Pucca,15541,59209,0.26,0.73
58635345,Tailor,37,Weekly,83,Secondary,1,1,10,Semi-Skilled,2,0.9,1,Semi-Pucca,28445,28151,1.01,0.95
39968227,Farmer,7,Irregular,69,Primary,1,0,2,Semi-Skilled,4,0.4,1,Pucca,12434,31193,0.4,0.62
80810428,Street Vendor,13,Weekly,25,Primary,0,1,4,Skilled,7,0.2,0,Kutcha,13143,51870,0.25,0.74
16809428,Domestic Worker,13,Monthly,35,Primary,0,0,4,Unskilled,7,0.3,0,Semi-Pucca,10073,51250,0.2,0.44
84312995,Street Vendor,19,Monthly,36,Graduate,0,1,6,Semi-Skilled,3,0.2,1,Semi-Pucca,19629,84450,0.23,0.83
20833064,Auto Rickshaw Driver,7,Irregular,12,Secondary,0,0,2,Skilled,6,0.2,0,Semi-Pucca,15558,57612,0.27,0.66
69259940,Delivery Partner,18,Weekly,10,Graduate,0,1,6,Semi-Skilled,5,0.4,0,Kutcha,22336,66605,0.34,0.95
88999178,Small Shop Owner,12,Irregular,15,Primary,0,0,4,Semi-Skilled,7,0.4,0,Semi-Pucca,20541,46056,0.45,0.77
30800905,Domestic Worker,15,Monthly,11,Illiterate,0,0,5,Unskilled,4,0.2,0,Kutcha,7649,26238,0.29,0.43
72029578,Auto Rickshaw Driver,47,Weekly,75,Graduate,1,1,10,Skilled,2,0.9,1,Pucca,39201,81454,0.48,0.95
40691399,Domestic Worker,7,Monthly,35,Primary,0,1,2,Semi-Skilled,4,0.4,0,Kutcha,10769,16581,0.65,0.63
75964561,Tailor,30,Monthly,68,Secondary,1,1,10,Semi-Skilled,2,0.3,1,Kutcha,26573,61967,0.43,0.95
96131265,Construction Worker,16,Irregular,15,Illiterate,0,0,5,Skilled,5,0.4,1,Semi-Pucca,11669,65881,0.18,0.54
70099523,Farmer,14,Monthly,67,Primary,1,0,4,Unskilled,6,0.6,1,Pucca,12543,41208,0.3,0.53
9155898,Farmer,12,Weekly,86,Illiterate,1,0,4,Semi-Skilled,6,0.6,1,Kutcha,15111,27281,0.55,0.68
33621104,Tailor,13,Monthly,33,Primary,0,1,4,Semi-Skilled,5,0.1,0,Semi-Pucca,15024,26438,0.57,0.89
14889446,Auto Rickshaw Driver,23,Weekly,32,Secondary,0,0,7,Semi-Skilled,6,0.4,0,Semi-Pucca,19706,12819,1.54,0.88
36641205,Construction Worker,10,Weekly,18,Primary,0,0,3,Unskilled,5,0.3,0,Pucca,9061,38428,0.24,0.53
34251112,Farmer,7,Monthly,36,Illiterate,0,1,2,Semi-Skilled,7,0.3,0,Semi-Pucca,9347,77658,0.12,0.5
71890530,Small Shop Owner,10,Monthly,53,Primary,1,1,3,Skilled,1,0.4,1,Pucca,28081,94334,0.3,0.95
77463463,Farmer,9,Weekly,79,Primary,1,0,3,Semi-Skilled,4,0.2,1,Pucca,13229,12236,1.08,0.79
4235593,Domestic Worker,38,Monthly,59,Primary,1,0,10,Unskilled,4,0.7,1,Pucca,15388,11017,1.4,0.81
23221600,Street Vendor,13,Monthly,39,Primary,0,1,4,Unskilled,7,0.2,0,Kutcha,15719,87000,0.18,0.69
26696349,Construction Worker,40,Weekly,75,Primary,1,1,10,Unskilled,7,0.1,1,Semi-Pucca,21651,63323,0.34,0.95
70676292,Domestic Worker,19,Weekly,11,Primary,0,1,6,Unskilled,4,0.3,0,Kutcha,7999,39364,0.2,0.63
18014386,Auto Rickshaw Driver,11,Monthly,28,Secondary,0,1,3,Skilled,3,0.1,0,Kutcha,18277,69898,0.26,0.95
65279112,Small Shop Owner,45,Monthly,82,Primary,1,1,10,Semi-Skilled,4,0.3,1,Pucca,46466,84745,0.55,0.95
90095926,Small Shop Owner,15,Monthly,80,Graduate,1,0,5,Semi-Skilled,2,0.6,1,Pucca,38306,78017,0.49,0.95
9783779,Farmer,3,Irregular,32,Illiterate,0,0,1,Skilled,7,0.2,0,Semi-Pucca,10130,67281,0.15,0.35
20349797,Auto Rickshaw Driver,14,Irregular,12,Primary,0,0,4,Skilled,7,0.1,0,Kutcha,14602,60452,0.24,0.61
5957891,Street Vendor,11,Monthly,73,Primary,1,1,3,Semi-Skilled,6,0.8,1,Semi-Pucca,19558,90861,0.22,0.85
33374198,Domestic Worker,7,Monthly,19,Illiterate,0,0,2,Unskilled,3,0.3,0,Semi-Pucca,8084,60129,0.13,0.45
81829998,Small Shop Owner,16,Weekly,14,Graduate,0,1,5,Semi-Skilled,6,0.3,1,Semi-Pucca,21657,73325,0.3,0.95
3921261,Auto Rickshaw Driver,11,Weekly,29,Primary,0,1,3,Semi-Skilled,6,0.3,1,Kutcha,16617,28288,0.59,0.77
33076049,Construction Worker,19,Weekly,24,Illiterate,0,1,6,Skilled,6,0.3,0,Kutcha,11889,47903,0.25,0.67
74755167,Small Shop Owner,23,Weekly,18,Secondary,0,1,7,Semi-Skilled,4,0.3,0,Kutcha,22072,28494,0.77,0.95
1251558,Farmer,3,Monthly,58,Illiterate,1,1,1,Skilled,5,0.4,1,Pucca,10576,56485,0.19,0.7
52832319,Small Shop Owner,17,Irregular,15,Secondary,0,0,5,Semi-Skilled,7,0.3,1,Semi-Pucca,17923,59017,0.3,0.78
31146024,Farmer,3,Irregular,29,Illiterate,0,0,1,Unskilled,5,0.3,0,Kutcha,7845,26779,0.29,0.4
1150202,Domestic Worker,16,Weekly,33,Primary,0,1,5,Unskilled,7,0.3,0,Semi-Pucca,9762,84217,0.12,0.55
3299044,Auto Rickshaw Driver,13,Weekly,67,Graduate,1,0,4,Unskilled,2,0.8,1,Semi-Pucca,30440,13948,2.18,0.95
81924730,Street Vendor,24,Irregular,76,Primary,1,0,8,Skilled,7,0.8,1,Kutcha,25080,30772,0.82,0.9
41851437,Farmer,4,Monthly,10,Illiterate,0,1,1,Skilled,6,0.2,0,Kutcha,7372,33621,0.22,0.45
51147051,Construction Worker,10,Irregular,12,Primary,0,0,3,Semi-Skilled,3,0.3,1,Kutcha,8745,72027,0.12,0.49
22548365,Domestic Worker,11,Weekly,29,Primary,0,1,3,Semi-Skilled,6,0.2,0,Semi-Pucca,10721,7095,1.51,0.75
93884758,Farmer,3,Irregular,57,Primary,1,0,1,Unskilled,4,0.4,1,Pucca,10385,23210,0.45,0.59
39161299,Farmer,4,Monthly,19,Illiterate,0,1,1,Semi-Skilled,6,0.2,1,Semi-Pucca,7987,63888,0.13,0.45
87590843,Farmer,6,Monthly,80,Illiterate,1,1,2,Unskilled,4,0.9,1,Pucca,11516,43526,0.26,0.7
24474898,Street Vendor,21,Weekly,19,Primary,0,1,7,Semi-Skilled,3,0.2,0,Semi-Pucca,13937,24221,0.58,0.81
29746285,Auto Rickshaw Driver,12,Monthly,70,Primary,1,1,4,Semi-Skilled,3,0.5,1,Pucca,23203,10322,2.25,0.95
46175304,Construction Worker,20,Monthly,31,Illiterate,0,1,6,Semi-Skilled,5,0.3,0,Kutcha,12635,58692,0.22,0.74
63071596,Auto Rickshaw Driver,40,Monthly,70,Secondary,1,0,10,Semi-Skilled,2,0.2,1,Semi-Pucca,31807,11459,2.78,0.95
10052222,Street Vendor,16,Weekly,30,Secondary,0,1,5,Unskilled,5,0.3,1,Kutcha,14193,54330,0.26,0.81
55164142,Farmer,4,Monthly,83,Primary,1,1,1,Unskilled,4,0.4,1,Pucca,13888,86719,0.16,0.74
52685274,Auto Rickshaw Driver,17,Weekly,35,Secondary,0,0,5,Skilled,6,0.2,1,Pucca,20861,89492,0.23,0.78
83993421,Construction Worker,23,Monthly,27,Primary,0,0,7,Semi-Skilled,3,0.3,0,Kutcha,11474,98409,0.12,0.62
24181024,Farmer,14,Weekly,74,Primary,1,1,4,Unskilled,3,0.6,1,Pucca,12495,75837,0.16,0.78
93520557,Auto Rickshaw Driver,11,Monthly,12,Primary,0,1,3,Skilled,3,0.4,1,Kutcha,14252,16088,0.89,0.79
75103098,Domestic Worker,26,Monthly,76,Illiterate,1,1,8,Unskilled,4,0.3,1,Kutcha,15666,60215,0.26,0.73
81479434,Auto Rickshaw Driver,10,Monthly,10,Graduate,0,0,3,Semi-Skilled,5,0.4,0,Kutcha,17130,88993,0.19,0.8
99805129,Street Vendor,22,Weekly,80,Secondary,1,1,7,Semi-Skilled,3,0.7,1,Semi-Pucca,20450,15265,1.34,0.95
83499958,Construction Worker,27,Weekly,50,Primary,1,0,9,Skilled,7,0.8,1,Kutcha,17521,52934,0.33,0.74
99250193,Construction Worker,27,Weekly,58,Primary,1,0,9,Skilled,1,0.8,1,Semi-Pucca,17270,82008,0.21,0.78
97483684,Farmer,3,Irregular,79,Primary,1,0,1,Unskilled,7,0.3,1,Pucca,13414,20524,0.65,0.57
58901114,Auto Rickshaw Driver,21,Weekly,11,Primary,0,1,7,Unskilled,6,0.4,1,Semi-Pucca,13624,82913,0.16,0.72
26518543,Domestic Worker,21,Monthly,22,Primary,0,1,7,Unskilled,4,0.2,0,Kutcha,10992,83215,0.13,0.68
17092388,Domestic Worker,45,Weekly,79,Primary,1,0,10,Unskilled,5,0.4,1,Pucca,19667,29559,0.67,0.93
64896343,Street Vendor,12,Weekly,73,Primary,1,1,4,Skilled,2,0.5,1,Semi-Pucca,20888,11498,1.82,0.95
81921985,Farmer,1,Weekly,18,Primary,0,1,0,Semi-Skilled,4,0.3,0,Semi-Pucca,6707,59241,0.11,0.64
48137568,Street Vendor,11,Weekly,57,Primary,1,1,3,Semi-Skilled,7,0.5,1,Pucca,17519,85613,0.2,0.85
77453137,Street Vendor,13,Weekly,16,Secondary,0,1,4,Semi-Skilled,5,0.3,0,Pucca,11359,29739,0.38,0.74
70990947,Street Vendor,13,Weekly,39,Primary,0,0,4,Unskilled,6,0.1,1,Kutcha,13663,22897,0.6,0.61
4177534,Domestic Worker,5,Monthly,24,Primary,0,0,1,Skilled,6,0.2,0,Semi-Pucca,9491,72990,0.13,0.37
86777339,Construction Worker,10,Monthly,81,Primary,1,1,3,Skilled,1,0.4,1,Pucca,19904,58461,0.34,0.92
68768215,Domestic Worker,31,Weekly,83,Primary,1,0,10,Unskilled,3,0.7,1,Semi-Pucca,18731,37123,0.5,0.82
52208213,Auto Rickshaw Driver,23,Weekly,21,Secondary,0,1,7,Unskilled,7,0.2,1,Semi-Pucca,18363,89051,0.21,0.92
9919020,Farmer,12,Monthly,72,Primary,1,0,4,Unskilled,2,0.6,1,Pucca,13416,6214,2.16,0.74
80322728,Farmer,3,Monthly,14,Primary,0,1,1,Semi-Skilled,4,0.4,1,Pucca,6941,10230,0.68,0.46
69321225,Small Shop Owner,17,Monthly,28,Secondary,0,0,5,Skilled,5,0.3,0,Semi-Pucca,26625,74023,0.36,0.95
38049841,Auto Rickshaw Driver,6,Monthly,25,Secondary,0,0,2,Semi-Skilled,4,0.3,0,Kutcha,16087,82991,0.19,0.75
2051440,Auto Rickshaw Driver,22,Irregular,34,Secondary,0,0,7,Unskilled,7,0.2,0,Semi-Pucca,18477,28787,0.64,0.75
46309803,Street Vendor,31,Weekly,72,Primary,1,0,10,Semi-Skilled,3,0.2,1,Pucca,23377,55429,0.42,0.95
95904873,Street Vendor,5,Irregular,31,Primary,0,0,1,Semi-Skilled,3,0.2,0,Semi-Pucca,13246,78438,0.17,0.64
75298423,Domestic Worker,21,Weekly,32,Illiterate,0,0,7,Semi-Skilled,5,0.1,1,Semi-Pucca,10797,61723,0.17,0.66
77714689,Street Vendor,18,Monthly,27,Secondary,0,0,6,Skilled,3,0.1,1,Semi-Pucca,14892,12789,1.16,0.76
9352460,Farmer,2,Irregular,20,Primary,0,0,0,Unskilled,7,0.3,0,Kutcha,7030,29694,0.24,0.41
43392702,Construction Worker,24,Monthly,24,Illiterate,0,0,8,Semi-Skilled,3,0.2,0,Kutcha,11241,74406,0.15,0.55
83791164,Street Vendor,40,Weekly,54,Primary,1,1,10,Skilled,6,0.4,1,Semi-Pucca,21244,98088,0.22,0.95
88611626,Auto Rickshaw Driver,18,Irregular,12,Secondary,0,0,6,Semi-Skilled,7,0.1,1,Kutcha,15694,83701,0.19,0.61
57410547,Farmer,2,Irregular,18,Primary,0,0,0,Semi-Skilled,3,0.3,1,Kutcha,6584,16790,0.39,0.45
2266173,Farmer,5,Monthly,24,Illiterate,0,1,1,Semi-Skilled,3,0.4,1,Pucca,8253,42966,0.19,0.68
21695852,Domestic Worker,7,Monthly,29,Primary,0,1,2,Semi-Skilled,7,0.3,0,Kutcha,10435,14867,0.7,0.49
66990627,Domestic Worker,7,Irregular,15,Primary,0,0,2,Skilled,3,0.3,0,Semi-Pucca,8963,42631,0.21,0.53
27999357,Farmer,0,Monthly,32,Primary,0,0,0,Semi-Skilled,6,0.3,0,Kutcha,8025,82745,0.1,0.34
35729430,Street Vendor,15,Monthly,12,Secondary,0,0,5,Semi-Skilled,5,0.4,1,Semi-Pucca,10932,52802,0.21,0.49
10562474,Delivery Partner,14,Irregular,25,Primary,0,0,4,Skilled,3,0.4,0,Semi-Pucca,23486,40907,0.57,0.95
87974955,Small Shop Owner,48,Weekly,62,Graduate,1,1,10,Skilled,2,0.5,1,Pucca,53004,75402,0.7,0.95
21815748,Small Shop Owner,27,Irregular,89,Primary,1,0,9,Semi-Skilled,1,0.2,1,Pucca,38082,7238,5.26,0.95
61695948,Street Vendor,32,Monthly,64,Secondary,1,1,10,Semi-Skilled,2,0.7,1,Semi-Pucca,21548,86601,0.25,0.95
51924435,Farmer,12,Irregular,69,Illiterate,1,0,4,Unskilled,4,0.6,1,Pucca,11315,85505,0.13,0.55
20005250,Delivery Partner,9,Monthly,10,Secondary,0,0,3,Unskilled,5,0.4,0,Pucca,16235,84041,0.19,0.77
73188543,Farmer,3,Monthly,11,Primary,0,1,1,Skilled,6,0.3,0,Kutcha,7773,60307,0.13,0.35
11552443,Street Vendor,31,Weekly,63,Secondary,1,0,10,Skilled,3,0.7,1,Pucca,21317,6499,3.28,0.95
3916929,Farmer,4,Weekly,63,Primary,1,1,1,Semi-Skilled,2,0.8,1,Semi-Pucca,11834,56917,0.21,0.73
35924649,Street Vendor,16,Weekly,33,Primary,0,0,5,Semi-Skilled,4,0.4,1,Kutcha,15371,54651,0.28,0.81
70397804,Construction Worker,6,Irregular,18,Illiterate,0,0,2,Skilled,5,0.2,0,Kutcha,10762,69644,0.15,0.55
58632647,Street Vendor,6,Monthly,22,Primary,0,0,2,Skilled,4,0.4,1,Kutcha,14119,41035,0.34,0.7
84923936,Auto Rickshaw Driver,10,Irregular,81,Primary,1,0,3,Unskilled,2,0.5,1,Semi-Pucca,26098,7791,3.35,0.95
36625469,Farmer,7,Weekly,23,Primary,0,1,2,Unskilled,6,0.2,1,Semi-Pucca,8328,24880,0.33,0.51
65779284,Farmer,13,Monthly,56,Primary,1,1,4,Unskilled,4,0.4,1,Pucca,10719,75127,0.14,0.6
73143898,Small Shop Owner,33,Weekly,87,Secondary,1,0,10,Semi-Skilled,4,0.7,1,Pucca,40502,39254,1.03,0.95
22551665,Small Shop Owner,12,Irregular,19,Secondary,0,0,4,Skilled,3,0.3,0,Semi-Pucca,22927,92810,0.25,0.91
76036359,Small Shop Owner,20,Weekly,32,Secondary,0,1,6,Unskilled,3,0.3,0,Kutcha,23507,73759,0.32,0.95
40846325,Street Vendor,11,Monthly,24,Primary,0,0,3,Semi-Skilled,7,0.3,0,Kutcha,12868,87802,0.15,0.5
49186637,Farmer,1,Weekly,13,Primary,0,1,0,Unskilled,3,0.1,0,Semi-Pucca,6374,22297,0.29,0.5
68885376,Domestic Worker,19,Weekly,11,Primary,0,0,6,Unskilled,3,0.4,0,Semi-Pucca,8447,94847,0.09,0.48
43783091,Delivery Partner,36,Weekly,74,Primary,1,1,10,Skilled,2,0.8,1,Pucca,38101,11656,3.27,0.95
18175296,Farmer,6,Irregular,13,Primary,0,0,2,Unskilled,4,0.1,0,Semi-Pucca,7422,68365,0.11,0.52
24396819,Domestic Worker,11,Weekly,31,Primary,0,1,3,Skilled,7,0.3,0,Semi-Pucca,10764,40333,0.27,0.56
19701667,Delivery Partner,18,Weekly,23,Primary,0,1,6,Semi-Skilled,6,0.3,0,Semi-Pucca,21336,97185,0.22,0.95
45391647,Auto Rickshaw Driver,17,Weekly,17,Secondary,0,0,5,Unskilled,7,0.3,1,Pucca,15467,83892,0.18,0.7
81637673,Street Vendor,11,Irregular,34,Primary,0,0,3,Semi-Skilled,3,0.3,1,Semi-Pucca,13252,67455,0.2,0.68
65929637,Farmer,2,Weekly,37,Illiterate,0,0,0,Skilled,4,0.4,0,Pucca,9167,16635,0.55,0.64
62547142,Small Shop Owner,18,Weekly,86,Primary,1,1,6,Skilled,1,0.6,1,Kutcha,39319,97418,0.4,0.95
70989173,Farmer,5,Irregular,14,Primary,0,0,1,Skilled,6,0.4,1,Kutcha,8127,44627,0.18,0.37
95827013,Farmer,6,Irregular,26,Primary,0,0,2,Unskilled,7,0.2,0,Kutcha,7564,87863,0.09,0.39
25476809,Farmer,5,Monthly,13,Illiterate,0,0,1,Unskilled,4,0.4,1,Kutcha,6445,81713,0.08,0.39
34208684,Construction Worker,39,Monthly,60,Primary,1,1,10,Skilled,1,0.3,1,Pucca,21440,93569,0.23,0.94
36304200,Domestic Worker,32,Monthly,85,Primary,1,0,10,Semi-Skilled,6,0.5,1,Semi-Pucca,19126,86031,0.22,0.75
73883506,Construction Worker,38,Monthly,75,Illiterate,1,1,10,Skilled,2,0.5,1,Pucca,22671,87313,0.26,0.95
75546315,Domestic Worker,45,Weekly,54,Primary,1,0,10,Semi-Skilled,5,0.2,1,Pucca,15822,75934,0.21,0.71
10111889,Construction Worker,22,Monthly,26,Primary,0,1,7,Semi-Skilled,5,0.3,0,Kutcha,12710,37845,0.34,0.68
90033391,Farmer,3,Monthly,15,Illiterate,0,1,1,Semi-Skilled,7,0.1,1,Kutcha,7144,31883,0.22,0.55
60196931,Street Vendor,42,Weekly,60,Graduate,1,1,10,Semi-Skilled,2,0.6,1,Pucca,27304,90191,0.3,0.95
29533976,Auto Rickshaw Driver,12,Weekly,14,Graduate,0,1,4,Skilled,7,0.2,0,Pucca,18089,71894,0.25,0.84
86240279,Tailor,23,Monthly,14,Primary,0,0,7,Semi-Skilled,5,0.4,1,Semi-Pucca,14605,79948,0.18,0.59
18651127,Street Vendor,18,Monthly,27,Primary,0,1,6,Unskilled,3,0.1,1,Pucca,14370,41705,0.34,0.83
30802338,Farmer,2,Weekly,82,Primary,1,1,0,Unskilled,7,0.9,1,Pucca,13229,55547,0.24,0.75
118588,Farmer,5,Irregular,24,Primary,0,0,1,Semi-Skilled,3,0.4,0,Semi-Pucca,8491,72603,0.12,0.45
18539151,Auto Rickshaw Driver,24,Weekly,26,Secondary,0,0,8,Semi-Skilled,3,0.2,1,Kutcha,19085,99871,0.19,0.91
53451883,Small Shop Owner,20,Weekly,37,Graduate,0,0,6,Semi-Skilled,6,0.1,1,Kutcha,28605,57735,0.5,0.95
48758253,Small Shop Owner,12,Weekly,12,Graduate,0,1,4,Semi-Skilled,7,0.2,0,Kutcha,22445,24382,0.92,0.95
16361143,Construction Worker,11,Monthly,20,Illiterate,0,1,3,Semi-Skilled,6,0.2,0,Kutcha,9869,71955,0.14,0.51
39949273,Farmer,11,Monthly,59,Primary,1,1,3,Unskilled,7,0.7,1,Pucca,11726,32314,0.36,0.55
1866387,Construction Worker,8,Monthly,13,Illiterate,0,1,2,Unskilled,3,0.2,0,Kutcha,8875,63847,0.14,0.59
28190245,Small Shop Owner,23,Weekly,23,Primary,0,1,7,Semi-Skilled,3,0.2,1,Kutcha,22952,82005,0.28,0.95
26677135,Farmer,4,Irregular,52,Primary,1,0,1,Semi-Skilled,1,0.6,1,Semi-Pucca,9701,88473,0.11,0.54
13215086,Delivery Partner,15,Weekly,27,Primary,0,1,5,Skilled,5,0.4,1,Semi-Pucca,23424,44660,0.52,0.95
69346111,Street Vendor,6,Irregular,35,Secondary,0,0,2,Semi-Skilled,3,0.2,0,Semi-Pucca,13315,39744,0.34,0.72
20020686,Construction Worker,13,Monthly,32,Illiterate,0,0,4,Semi-Skilled,3,0.2,1,Kutcha,10388,52554,0.2,0.55
37165175,Construction Worker,23,Weekly,36,Primary,0,0,7,Semi-Skilled,3,0.2,0,Kutcha,13687,26910,0.51,0.62
43396139,Street Vendor,16,Irregular,26,Primary,0,0,5,Semi-Skilled,6,0.2,0,Kutcha,12866,51979,0.25,0.46
45266268,Small Shop Owner,8,Weekly,33,Primary,0,1,2,Semi-Skilled,5,0.4,0,Semi-Pucca,23156,35225,0.66,0.95
85731532,Construction Worker,21,Weekly,29,Primary,0,0,7,Semi-Skilled,5,0.2,1,Pucca,12852,27396,0.47,0.62
36517735,Street Vendor,38,Weekly,67,Secondary,1,0,10,Semi-Skilled,7,0.5,1,Semi-Pucca,20603,99766,0.21,0.86
99810615,Farmer,3,Weekly,29,Primary,0,1,1,Unskilled,4,0.3,0,Kutcha,8137,92798,0.09,0.67
97804207,Small Shop Owner,25,Weekly,64,Primary,1,1,8,Semi-Skilled,2,0.4,1,Semi-Pucca,33448,33290,1.0,0.95
71959465,Farmer,4,Irregular,14,Primary,0,0,1,Unskilled,7,0.4,1,Pucca,6622,56583,0.12,0.34
39944152,Small Shop Owner,5,Weekly,26,Secondary,0,1,1,Semi-Skilled,6,0.3,0,Kutcha,18849,19175,0.98,0.85
66893382,Auto Rickshaw Driver,16,Weekly,10,Primary,0,1,5,Unskilled,3,0.1,0,Semi-Pucca,15050,25283,0.6,0.85
84461561,Delivery Partner,15,Weekly,23,Primary,0,1,5,Semi-Skilled,6,0.3,0,Kutcha,19334,35718,0.54,0.91
33303282,Street Vendor,27,Weekly,84,Secondary,1,1,9,Semi-Skilled,7,0.2,1,Pucca,21703,62135,0.35,0.88
36243160,Tailor,32,Monthly,65,Primary,1,0,10,Semi-Skilled,7,0.8,1,Pucca,26280,5555,4.73,0.95
85479505,Auto Rickshaw Driver,10,Weekly,38,Primary,0,0,3,Skilled,7,0.2,0,Kutcha,21198,98919,0.21,0.78
97448663,Domestic Worker,49,Monthly,60,Primary,1,1,10,Skilled,7,0.9,1,Semi-Pucca,20303,19114,1.06,0.95
42482521,Farmer,1,Monthly,37,Primary,0,1,0,Unskilled,5,0.2,0,Kutcha,7977,46729,0.17,0.6
31079270,Construction Worker,42,Monthly,86,Primary,1,1,10,Unskilled,1,0.8,1,Pucca,23598,12768,1.85,0.95
39198533,Street Vendor,45,Weekly,70,Primary,1,0,10,Unskilled,2,0.9,1,Pucca,24358,93749,0.26,0.95
30158159,Farmer,6,Weekly,68,Illiterate,1,1,2,Unskilled,7,0.6,1,Semi-Pucca,10947,80586,0.14,0.66
70813596,Street Vendor,5,Irregular,17,Primary,0,0,1,Skilled,7,0.1,1,Kutcha,13056,71216,0.18,0.49
50249205,Farmer,10,Irregular,52,Illiterate,1,0,3,Skilled,3,0.1,1,Semi-Pucca,10940,16692,0.66,0.58
5934283,Domestic Worker,13,Monthly,55,Primary,1,1,4,Skilled,6,0.7,1,Pucca,13278,79282,0.17,0.59
51763056,Domestic Worker,13,Monthly,51,Primary,1,0,4,Skilled,4,0.6,1,Pucca,12715,22596,0.56,0.62
26136978,Auto Rickshaw Driver,36,Monthly,84,Secondary,1,1,10,Skilled,7,0.3,1,Pucca,37767,18510,2.04,0.95
89148552,Farmer,4,Irregular,10,Illiterate,0,0,1,Skilled,4,0.2,1,Semi-Pucca,7932,12475,0.64,0.46
89719950,Street Vendor,6,Monthly,27,Secondary,0,1,2,Semi-Skilled,3,0.4,0,Semi-Pucca,13013,80711,0.16,0.74
97975456,Farmer,14,Monthly,56,Primary,1,1,4,Unskilled,3,0.3,1,Semi-Pucca,12052,68622,0.18,0.79
54520281,Farmer,1,Monthly,29,Illiterate,0,1,0,Unskilled,4,0.1,0,Semi-Pucca,8777,56024,0.16,0.57
5299473,Domestic Worker,40,Weekly,60,Primary,1,1,10,Unskilled,6,0.5,1,Kutcha,16558,83621,0.2,0.78
32938546,Auto Rickshaw Driver,44,Weekly,73,Primary,1,1,10,Unskilled,3,0.7,1,Semi-Pucca,29342,15478,1.9,0.95
79400882,Farmer,6,Monthly,31,Primary,0,1,2,Unskilled,6,0.4,1,Pucca,9256,48835,0.19,0.51
48166773,Street Vendor,36,Irregular,57,Secondary,1,0,10,Semi-Skilled,7,0.8,1,Pucca,19583,63688,0.31,0.72
